@manan Hahaha don't worry Microsoft will giveaway WP7 devices to all attendees. :D	
Microsoft offers Windows phones to Android haters: Redmond is encouraging folks on Twitter to share their Android...	
#Nokia is making a good call partnering up with @microsoft. Nokia N8+Windows Phone 7 would be so awesome.	
Windows Phone Mango 7.5 is better than Android. Congrats Microsoft, for not copying the mighty iPhone.	
Really impressed by Microsoft today. Check out Windows phone 7. IPhone & Android?  Fight!	
No more #smokedbywindowsphone challengers today @MicrosoftStore Uvillage; they're all full. Guess no @windowsphone for me. @curtislu @HughL	
Love the new "Get A Windows Phone" advert, Microsoft have a #Winning advert there.	
@windowsphone @winphonesupport @microsoft Over an hour on WP7 browsing (to no avail) for artist it took me 3 secs to search for on PC Mktplc	
@dgwelsh Microsoft have become ninja's. They managed to figure out company's email account server details on WP7 and in Outlook.	
RT @MobileTechWorld: Next generation #wp7 phones coming later this year from ALL OEMS... #wp7dev #wp7 #microsoft #mwc11 #mwc	
Mobile News: Microsoft Previews Upcoming WP7 Features  #fb	
Nokia goes with Microsoft Windows Phone 7, might be good instead of fighting android vs android Nokia wants his own market	
The surprising news - Microsoft is making their client available to more than #WP7. #Android, #iOS, & #Symbian will be able to utilize it.	
Dear Microsoft, The only people interested in wp8 are already wp7 users. By not giving us updates you fucked up.	1
@mikejjennings I surprised Microsoft didn't give you all at PC Pro a WP7 phone :P quite the advert they have there!	
oh, and @Microsoft - I expect a Windows Phone Studio on my Skydrive.com page when Mango releases.	
#Microsoft offers a neat little #WP7 to GeorgeHotz, who hacked Sony's #PS3 a few days ago.	
@RCdeWinter @ChrisIn757 I'm waiting for Microsoft's win 8 tablet. Love the windows phone OS, hoping the new tablet will be similar.	
setting up new win 7 laptops for my kid's school. anyone from @microsoft want to donate #wp7 devices to help them learn mobile dev? :)	
Instagram <-> Facebook <-> Microsoft <-> Windows Phone ?	
RT @CodyMontembeauZ: Microsoft acquires Skype --> Windows phone?	
@cliftonmthomas ZunePass will only get better with Microsoft getting rid of the point system for purchases and #wp7 taking off	
That windows phone commercial may be the only truly great thing Microsoft has ever made.	
RT @nick_b: Microsoft has had 500k downloads of Windows Phone dev tools - @BrandonWatson #mobileappsworld	
Microsoft has said that Yahoo is behind the data leaks on WP7 handsets.The flaw makes phones send and receive data without users knowing.	
Hungry for my WP7.5 #Mango....come on #Microsoft and #Vodafone....I want waaaaaaaaaaaa :-)	1
#Lumia800 build with the Windows Phone WP7 OS Watch out now :). #Microsoft and #Nokia partnership good move	
Microsoft: "Betcha can't get the weather faster than WP7, you Android-owning losers! In fact I bet $	
Upcoming/future FW will make #nokia Lumia 800 users' ears happy ;-) .... #wp7 #windowsphone #microsoft #bass	
Microsoft's Aaron Woodman on Windows Phone: 'We feel really good about the trajectory' - Error	
You know his name is Lummy, right? He's all mine and he's great!  @Microsoft @windowsphone @nokia #Lumia800 #WindowsPhone	
@microsoftindia love the windows phone! Much than my previous berry. But why does indian services lack behind? When do we use its potential?	
Ballmer more subdued... Microsoft not pinning as much on partnership. Will still sell other windows phone devices	
Current WP handsets won't be upgradable to WP8?! That's a big kick in the nuts for folks that picked up the Lumia. @att @nokiaus @microsoft	
Microsoft says Windows Phone will surpass Apple in China (yes, really)	
RT @gcaughey: RT @jonfortt: This is a good day for Microsoft's mobile strategy. #motorola #google #wp7	
RT @Guardly: Best way to stay safe at Microsoft #BUILD is with Guardly on your smartphone. iOS, BlackBerry and now on #WP7 Mango. www.gu ...	
george  The Microsoft lync app for iPhone just took away the last reason I might have to buy a Windows phone  manal	
Im mad im amped about this windows phone 7....i think microsoft bout to go beast mode	
Google's Vic Gundotra on Nokia joining Microsoft's Windows Phone 7 platform: 'Two turkeys do not make an eagle'. #android #wp7	
"@imhassan: Microsoft has suited up with Windows Phone 7."	
By this time next year, Microsoft #WP7 may have a good 20% of the smartphone market. The MSFT and Nokia partnership is huge!	
Looking at screenshots of the Windows Phone 7 interface. I guess we now know what the Microsoft Bob team is working on these days.	
RT @mc_the_mc: Interesting to see so many #WP7 phones in TV shows these days. Windows Phone is awesome #lumia #hd7 #microsoft	
@weemundo I'm not against Microsoft or anything, but they are way too comfortable with stuff. They don't even care about WP7 sales.	
Dear god Microsoft, more than a year later, where's our WP7 SMS, etc backup/restore tool?	1
I''m addicted... #Xbox for gaming, #Windows7 for my computer needs, and now with $WP7, my life is complete. #Microsoft is king.	
With #WP7 and #Kinect coming out soon, this might just be a #Microsoft Christmas.	
Looking at Apple iPhone website vs Microsoft Windows Phone 7 site ... frustrating at how much Microsoft are underselling this phone..	
Wait. The new Windows phone is called "Windows Phone"? The usual deft touch of Microsoft marketing. #twittertweet	
@tomiahonen I think the tipping point for Microsoft is going to be WP8. Windows tablets and WP8 I think will win the hearts of enterprises.	
Microsoft is giving away free Windows Phones at Tyson's Corner mall till the 29th.	
Goodmorning and wellcome to timeline @BlackberryHints, @windowsphone_LA, @MicrosoftLatam, @TegaGDerap, @blackberrytter, @BlackberryHints	
RT @ExpertZone: In case you missed it ... the #Microsoft ExpertZone #mobile #app just launched for @WindowsPhone & Android!  Downloa ...	
This new #nokia #microsoft partnership is great for those who think WP7 is great sw in terrible hw. We will see great implementations ahead	
RT @chris_r_v_s: RT @joshgnosis: shld Microsoft apologise 2 the men 4 the meter maids at #auteched..? Yes. giv us a #WP7 so we cn forget ;-)	
Skype in arrivo su Windows Phone 7 di Microsoft - Secondo quanto affermato da Rick Osterloh, VP of Products di Skype	
does anyone know of a video feed for the microsoft windows phone press conference today at 10am ET?	
Point. RT @stroughtonsmith: Google apps for iOS: 10 Microsoft apps for iOS: 12 Apple apps for Android/WP7: 0  Who's winning what again?	
I said it'd not be wise to bet against #Microsoft or #nokia . This will good for everyone mobile, even #symbian programmers #windowsphone7	
@ivanbernat microsoft should ditch windows phone and buy bada from samsung, then badabing	1
@groovepoint I'd honestly like to see Windows Phone 7 OS running on the XOOM hardware. But Microsoft is clueless.	1
I've contacted cdnwp7@microsoft.com to see about getting things fixed up.. stay tuned.	
Geohot will start his way to wp7 phone, this will make Microsoft mad. This will be less complicated than the one on Apple's iOS devices.	
@joebelfiore Can someone at Microsoft please make a commercial for the great product you have?  The world needs to know about wp7	1
@The_RacingSnake ah not bad then.. i have a sony vaio and im a microsoft fan (windows phone) and love nintendo so winners all round x	
@WinPhoneSupport wish Microsoft would release a mobile version of live writer. That would be sweet! #wp7	1
Nokia & Microsoft announce partnership. Nokia to design hardware for WP7 platform. A new beginning or last desperate attempt from Nokia?	
RT @appcompatguy: Got my shoes shined in ORD today, "Where do you work?", "Microsoft", he started waxing poetic about his #windowsphone. ...	
Microsoft giving $10 commission for retail sales people who sell Windows Phone over others - Typical Microsoft sales genius #ekquotes	
What about the Windows Phone 7 community?? ONE phone option? To quote @Microsoft: Really????? RT @TMobile We love the Android community!	
Nokia takes on Android with launch of Windows phones ...: Finnish firm launches first handsets to run on Microsoft's Windows Phone sy...	
Microsoft and Nokia team up for Windows Phone 7. Good news all round.	
#Nokia CEO says Nokia "Not fast enough to compete" - true. But then link up with MICROSOFT!?? How long was WP7 in the making?	
RT @thurrott: Only 250 new features in Lion? Pfft: Windows Phone 7.5 has 500!! Microsoft for the win! // quantity, meet quality. He's better	
Come on Microsoft I need copy and paste. What's taking so long with the update? #Windowsphone7	1
Sueing microsoft over #smokedbywindowsphone because you know all your other phones are shit.	
RT @DanaEpp: Microsoft, if you want #WP7 to be successful unlock the ROM in the emulator so we can actually test it properly #collaboration	
Is there a process to transfer a Microsoft MyPhone account/data to Windows Phone 7? #wp7	
yet another stupid design by Microsoft: putting the new windows phone on At&t no one likes them	
Ahh so tired, I guess imma sleep now -_- still wondering when am I going to get my #Mango :( #Microsoft #wp7	
RT @laurenweinstein: Nokia's mass layoffs and choice of Windows Phone 7 based on multi-billion dollar payoff from Microsoft.  Not a surp ...	
Mobile News: Microsoft Calls First Windows Phone 7 Update a Success  #fb	
Just awarded 3 Windows Phones to SceneFlow and an Xbox 360 to BeanStock at #atlsw for great use of Microsoft tech!	
Free Chapter from Microsoft SharePoint 2010 Enterprise Applications on Windows Phone 7!	
nokia's new strategy to go with microsoft windows phone software...for better or worst? i prefer symbian over windows!!	
Nokia N9 is still Nokia's best phone yet. Lumia 800's Microsoft Windows Phone 7.5 Mango is disappointing. Plus, it doesn't support Java.	
@Microsoft Most definitely! #ILoveWindowsPhone	
RT @techsavvy: According to Paul Thurrott, Microsoft will announce three new Windows Phone devices at CES that will support 4G LTE servi ...	
Microsoft soon to push update to Windows Phone 7, 1 Cut and Paste and 2 better performance switching between apps. via @Pureinfotech	
Can Microsoft stand against Apple, RIM, and Google this holiday? #phonewars #windowsphone7 lol	
RT @rgbfilter: Microsoft expanding Zune Services internationally: With Windows Phone 7 just around the corner, it's no surprise t... htt ...	
RT @Scobleizer: There is already more excitement on Twitter for Microsoft's Windows Phone 7 than for Nokia N8 or RIM's latest. That says ...	
Microsoft should really change the URL pics get posted to with wp7 Mango. Looks like spam.	1
@tromboneforhire Microsoft brought out the Zune, Xbox 360 and Windows Phone. #noreallythatswhysonysucksnow	
microsoft bought skype - seems like wp7 is gonna get some integrated voip love.	
RT @POBMag: Free Windows Phone 7 App Puts the Power of Mapping in Users' Hands: Microsoft Windows Phone users  #N#can access ... http://bi ...	
@windowsphone I don't like to complaint but can we get a better #YouTube app from #Microsoft for #WP7 ;-)	1
RT @dinabass: Still no comment from Microsoft on Windows Phone sales.	
@Skype @Microsoft I would like to see Windows Phone 7 integrated... with Skype :)	1
@kassyxlove there is its a windows phone microsoft just dropped it has windows 7 in it and u can access ur xbox stuff	
#wp7 that's a hell of a reboot ;) #Microsoft had to do this 3 years ago. Good move ! Live long Microsoft. Congratulations to the team.	
@MichaelGillett It could be for the patents, which they could turn around and give to Microsoft for use in Windows Phone.	
S/O to Microsoft for my free Windows phone!!!	
RT @davelee: Microsoft offering free Windows Phone for best stories about Android 'rage'. Cheeky - and it'll bite them in the bum, you'd ...	
An NT-powered Windows Phone? Not so fast...: MS mulls partying like it's 1996.... Sources close to Microsoft have confirmed the verac...	
WindowsPhone experience update: in some respects the game was never really Apple's to win, but Microsoft's to lose...	
@DVD_PT Microsoft says Android's dual-cores phones are a hoax simply because WP7 is incapable of supporting dual-core CPUs.. It's marketing!	
15 minutes of break left, go to the Microsoft stand to demo IE9 and a #wp7 (You can also graffiti our wall!) #dConstruct	
Samsung, HTC Gearing Up for 4G LTE Windows Phone With Two New Models: The current crop of smartphones running Microsoft's Windows Pho...	
The biggest FAIL of Microsoft is that Zune does not support .mkv files. Why the hell should I convert them? WP7 is useless in playing video.	
The First Windows Phone 7 Smartphones.#N#Microsoft Unveils 9 New Handsets and Partners.	
@Microsoft @windowsphone @benthepcguy I bet my HTC EVO 3D is faster than a Windows Phone.	
Microsoft has confirmed no interest in selling any portable Xbox, and will instead focus on the new Windows Phone 7 platform. #microsoft	
@PaulKeutelian Are you kind of excited about the Nokia & Microsoft partnership? Because I am. Nokia hardware + WP7? I dig.	
This is my friday night reminder to defrag your system... #Windows #Microsoft #IE #WP7 #MSWindows	
Creating a simple Angry Avian (ie Birds) Clone for WP7 all in Expression (and ... - Microsoft - Channel 9 (blog)	
More App Development News: Microsoft is battling to reduce the time it takes to approve and publish Windows Phone apps, and to improv...	
@mletterle the only beef I have with the article is their conclusions that microsoft should kill windows phone	1
I think more #wp7 apps are put out by Microsoft devs than anyone else ;-)	
Microsoft have finally announced multi-tasking and an HTML5 compliant web browser for Windows Phone 7. But "to be released 2011"... err...	
@windowsphone @billcox @joebelfiore Is Microsoft having a Windows Phone conference in an hour or not?	
arent we forgetting android? bigger than both now RT @scamboy: The big competitor to IOS is Windows Phone. Will Microsoft beat Apple?	
RT @dovellonsky: @Microsoft @Windowsphone Release NoDo , TODAY!is an offer you can not refuse ;-)	
@Nirmitk26 Yes, I'm involved in Microsoft DreamSpark project, so I'm a #wpdev in App Hub. just a beginner. But I really love #WindowsPhone.	
@MicrosoftHelps I tried @Winphonesupport & @Office. No luck! All I need is a list of the supported functions on Excel Mobile. Nowhere online	1
RT @justinlhalim: In the process of upgrading now!!! RT @Microsoft_SG: So, who's going to upgrade to the #Nokia #Lumia 800 #WindowsPhone ...	
RT @CDemerjian: How much do companies pay for Windows Phone 7? How much will Nokia end up paying? How can Microsoft compete with Android ...	
RT @samfbiddle: pretty shocking that microsoft rigged a windows phone contest meant to promote windows phone at windows stores	
@ParasValecha @Microsoft With native code support in WP8 you willl get it :)	
Microsoft should've kept XBL exclusive 2 #WP7. Metro UI alone isn't enough.	1
RT @FrogMode: #Microsoft set to quietly quash homebrew on Windows Phone	
Hard to see how Moto deal won't play straight into Microsoft's hands. Google's fear of IP licensing costs greater than fear of shift to WP7?	
RT @Andrew_Grayling: New blog posting, More evidence for a Nokia-Microsoft Windows Phone 7 deal - Computerworld (blog) - http://tinyurl. ...	
@3online any idea when you'll be releasing mango for windows phoneAre you still working on it or is it up to Microsoft now?	
RT @BusinessTwitdex: Localized Microsoft WP7 surfaces 2 days before China launch, looking less than local: Microsoft is all... http://t. ...	
So Symbian is dead but it's getting Microsoft apps this quarter. Anyway Symbian and WP7 individually have more apps than BB OS...	
RT @jaugustine: Age of Empires Online has an awesome new crafting app...only available on Windows phones. Devs, avoid Microsoft at all c ...	
Nokia and Microsoft's partnership means Windows phone will overtake iOS as #2. #iOS	
with the new windows phone OS, Microsoft looked at Helvetica's impact for inspiration. #ReMIXSouth	
Hmmm....no WP7 Tablet announced. I think I am going to have to get the IPad2 when it arrives. Can't snooze around waiting for Microsoft.	
They're clearly written with clenched teeth. To handset-makers, Microsoft's new Windows Phone software will suddenly look quite attractive.	
Mobile Development - this is when you try developing on Android & iOS that you realize how awesome Microsoft is at creating Dev. Tools! #WP7	
@tle9 When you come out of your tryptophan coma, talk to me about #microsoft so I can klout perk a new windows phone. My old phone is dying.	
@nerdsatheart I work for Windows Phone & want to invite u & ur meet-up to a special event. Email me krisbock@microsoft.com 4 details!	
@Supahoopz that one you can't actually blame Nokia for. Microsoft designed the UI. It is same for all windows phones.	
@SlighMD all apps are compatable with all of the #WP7 phones. Microsoft specified minimum specs and hardware to make sure of this.	
I've realized how easy and useful #Microsoft #SkyDrive is, despite using a Mac. Waiting to see how it syncs on a #WP7 phone! @windowsphone	
RT @findingnewo: "Microsoft is sitting on a very big secret as to how Windows Phone integrates with Windows 8. It could be huge" via @verge	
MICROSOFT & NOKIA to invest EUR18m to support app developers programme in Finland, for Windows Phone + Symbian platforms via @SlashGear	
Nokia finally fed up with Symbian teams up with Microsoft Windows Phone 7 to counter the dreaded onslaught of Android mobile. #Symbian3 #WP7	
you know the expectations are set *very* high for #WP7 when @parislemon thinks it may be legit. Showtime, Microsoft.	
@VoodooChief @DrMistry do you think microsoft is doing that on purpose in order to get more developer attention to WP7?	
@HirokoTabuchi Thanks for the hat-tip. I do wonder whether Microsoft HQ knows this is one way WIndows phones are being promoted in Japan.	
@maximumpc there's no such thing as windows phone 7! I wonder why Microsoft even bothers with updates!	
Goddamn its nice having Microsoft Office on my Windows Phone. Finish some homework any time of the day.	
@Falcon_ Yeah, I spent all week listening to Microsoft speakers brag about IE9 and IE10 (platform preview 1 is out now) and windows phone 7	
big fat & unmissable windows phone 7 adverts plastered all over the Metro newspaper. My tube train is a rolling advert for microsoft.	
Just tried out a WP7 phone. It's strange to see such a minimalistic UI coming from Microsoft.	
Even Jase finds the windows phone interface to be u-g-l-y #microsoftaintgotnoalibiwindowsphonesucks	
If #Android infringes 23 MS patents, #Microsoft could make $500M in licensing.  That's $499M more than MS makes from Windows Phone 7 #vMan	
Microsoft CES keynote was aweful nothing new was shown...no windows 8 no new updates to windows phone no ie 9 updates....	
Just spent 3 hours in line to swap my 1st generation iPhone for a new HTC Titan Windows phone for free at the Microsoft Store! Whoa.	
RT @davidsteel: Microsoft Sued For Collecting WP7 Location Data Without Consent: While Apple has been catching much of the flak ... http ...	
RT@wsjindia Breaking News: #Nokia to form partnership with #Microsoft, adopt #Windows Phone platform	
@vasudevg @MicrosoftIndia He should definitely endorse #wp7 and MS can grab some market share quickly :D	1
@microsoft i went to go demo new wp7 on your site. sure enough my browser isn't supported. reminds me of the 90's. wake up	
RT @windowsphonenet: webOS devs: Microsoft offers free phones and training for Windows Phone 7 - ZDNet (blog): webOS devs: Microsoft ... ...	
RT @LanceSeidman: Is it just me, or is their room now for @Microsoft to beat the #iPhone with #WP7? I say, YES. As people are mad about  ...	
Leaked T-Mobile HTC HD7 with Windows Phone 7 inside, as a successor of HD2. 5Mpixel cam, 4G, 800x480 screen #WindowsPhone #Phone @Microsoft	
Spambait: iPad, iPhone, iPod, WinMo, Windows Phone, Apple, Microsoft, WANT, WANT, WANT	
@Scobleizer I think Samsung is making a *huge* mistake. WP7 isn't going to have the impact #Microsoft says it will. Won't draw in enterprise	
CEOs from AT&T, HTC and Microsoft announce Titan II with 4G LTE, Windows Phone and 16 megapixel camera. (Sixteen!) #CES	
RT @crakkfr: @Microsoftbe Will you allow #ZuneMusicPass in Belgium ? Same way as Itunes, Deezer, Spotify #windowsphone #wp7be	
Bravo à notre + sympa partenaire! RT @buzzilla_no10: We just won Microsoft. We'll do their viral & social media campaign for Windows Phone 7	
@DhaatuPramukh fuck that how can microsoft not have a skype app for windows phone when it owns skype?	
RT @thocht: Can Microsoft get LG excited about Windows Phone again?: LG has more recently soured on Windows Phone as its bro... http://t ...	
I love Microsoft for *not* using gradients in their interfaces for Windows Phone 7. Simple 2-color icons are very easy to recognize.	
Microsoft's Windows Phone demo during the keynote was the worst demonstration of a product at CES yet.	
Nokia will merge its app store with Microsoft's so that Windows Phone has a better developer ecosystem	
Watching the Windows Phone 7 launch event in NYC. Microsoft is back big time! Apple and Google are paying much attention ^_^	
@ItsAaronR Awesome. :D I forgot where I read it, but I think Microsoft made a tool that converted Droid code to WP7 code.	
@garywhitta It just occurred to me that perhaps Microsoft's plan is to have Skype be the FaceTime alternative on WP7. Interesting...	
Angry Dev; We have NOT committed to doing a Windows Phone 7 version. Microsoft put the Angry Birds icon on their site without our permission	
Was talking to a co-worker today about our WP7s.  We both agree.  Microsoft is on to something. They rock! Watch out iPhone/Droid! :)	
We are not robots - Windows Phone. I see what you did there Microsoft, (Android robot)	
contemplating switching from the #iphone to the @MicrosoftStore #windowsphone husband is a wp dev so the support should be good :)	
Went to the #microsoft store in oakbrook today. Liked it, tried kinect, pretty cool. Tried #WP7, nice but things take too long to load.	
RT @WirelessLife: Analysts praise progress of Nokia / Microsoft #WP7 partnership, even as the market continues to remain skeptical http: ...	
RT @newsp2p: Microsoft's Plan B to Make Money in Phones: Patents: Although Microsoft is still hoping that Windows Phone 7 pro... http:// ...	
en direct des #Microsoft #Techdays #windowsphone #tryandlikeit	
In one week, with #Office365 and #WP7 Microsoft has put Google on the defenses.	
windowsphone awesome! Microsoft is doing a great job :)TkZ	
RT @Failgunner: I can't search for @Torrie11 or @StacyKeibler on bing.com thanks to their stupid adult filter. Barring wp7, microsoft sucks.	
RT @wp7_connect: Mango: Microsoft's Japanese Site Leaks New Features For WindowsPhone.com: Future features coming to Windowphone.... htt ...	
Yet another app it doesn't have. RT @WinRumors: Microsoft confirms Windows Phone 7 devices don't contain Carrier IQ #wp7	
#Microsoft inviting hackers and jailbreakers to their #wp7 platform.  Sales musn't be to expectations.  Still kudos.	
Anyone got a cool app idea and want to launch it on Microsoft Windows Phone 7?	
I wish Microsoft would make a new Zune running on WP7 for music and I could get the Evo 3D!! Best of both worlds!!!	1
@WPConcierge @Microsoft @hotmail Yep, but really only Microsoft/WP7/Nokia mails are false positives. Even directly from ...@microsoft.com :D	
RT @besweeet: I might need to buy a WP7 phone. Microsoft genuinely supports homebrew/jailbreaking, which is full of wincake.	
Microsoft Doesn't Expect Windows Phone 7 Sales To Catch Up To iOS or Android Any Time Soon	
RT @MSTechStudent: Let's kick it off ... What is your favorite way to play with Microsoft: PC, Xbox, Kinect, Windows Phone, Bing, Messen ...	
I can see why Microsoft might have chosen to not use the WP7 logo for Windows 8. They are the same logo, but not the same product...	
RT @whymicrosoft: #MS literally put "their money where their mouth is" to prove that #WindowsPhone is faster than your phone:  http://t. ...	
Microsoft offering free XBox game with WinPhone7 purchase to 12/31, includes Halo Reach. Only thing that makes me wish I waited 1 more week.	
New post: Nokia Lumia 900 Windows Phone up fo http://www./02/2012/72813/nokia-lumia-900-windows-phone-up-for-pre-order-in-microsoft-stores-2	
RT @MaxOverclocker: Microsoft to Spend $1 Billion on Promoting Kinect and Windows Phone 7: Microsoft is at a key juncture in its histo.. ...	
It's funny that Microsoft is advertising Messenger for Mobile (on their own sites) when Messenger for #WP7 doesn't even exist...	
Exactly! RT "@dfewgoodmen: @iYomiAdegboye Truth be told; Before @Nokia's forage into WP7, I had no interest whatsoever in Microsoft's WP!"	
To build a holodeck: an exclusive look at Microsoft's Edison lab#N##N# #windowsphone #tryandlikeit	
Microsoft Offers Free Windows Phone Devices To Malware Infected Android Users &acirc;€" Over 3,200 Applied?	
Microsoft planning big AT&T Windows Phone launch party in NYC	
Microsoft has to fix the terrible performance of custom apps on #wp7. Every one I have tried lags badly, even ones they wrote. Shame.	1
RT @fakeselop: Microsoft should buy Skype- that way it would be easier to integrate into Windows Phones.	1
Three separate ads for Windows Live, Windows Phone 7 and Bing in between the Big Bang Theory episode. You.... MICROsoft!	
RT @opvard: Looks like Microsoft wants to bully phone manufacturers into using Windows Phone 7 by suing anyone who doesn't.	
Finally nokia microsoft partnership annonced , and we will see a windows phone made by nokia.... Sighhhhh	
Wavefront Presents Microsoft WP7 WaveGuide Code for camp developers to build app for Windows Phone.On the 27th of March.	
Microsoft Battles Delays in Windows Phone App Approvals: Microsoft is battling to reduce the time it takes to approve and publish Win...	
RT @jbienz: I'm a Microsoft employee and I want to help you build Windows Phone apps. Meet me outside Ballroom D after this session to c ...	
I was pulled into a nap... just woke up to see an email from @Microsoft, looks like I won a #Windows phone at #CES2012 YIPPEE	
RT @nickwhittome: OK, thats it...  Until @microsoft confirm they will be upgrading at least the new Lumia phones to WP8 I am not recommend ...	
RT @Chassit: Microsoft really needs to clarify the usage of #WM, #WP, #Win7, and #WP7. It's well worth a million mentions that "WM" no l ...	1
@tyrstag That'd b cool. With @Microsoft allocating $1B to #Kinect & #WP7 marketing, u would think they could send u a demo unit.	
RT @bobegan After a week w/ a couple of Nokia 900's I say Nokia and Microsoft are back. The 800 was nice. 900 is better. #wp7	
Xbox Companion App for Windows Phone Teased by Microsoft at Nokia World  #SMO #socialmedia	
MicrosoftStore I bought a hard drive for my Xbox, I have an HTC titan Windows phone and it is awesomnWK	
I'd love to see #Skype come out of Beta for the #lumia900 launch. #wp7 #Nokia #Microsoft	1
RT @WindowsPhoneUK: Congrats @brandonfoy RT @wmpoweruser Microsoft Hires Brandon Foy, The Man Behind Awesome Windows Phone Ad http://bit ...	
Currently downloading.. Microsoft Expression blend for windows #windowsphone	
Ok rundown of the Microsoft CES Keynote. Windows Phone 7 is awesome, Nokia Lumia 900 and HTC Titan 2 (squee!)	
I think outside of Microsoft everybody is still calling it "Windows Mobile" instead of #windowsphone	
@dhh It is beautiful, ain't it? If Microsoft didn't half-ass it with the Zune here in Canada, I'd be all over that Windows Phone.	
#Microsoft need to make some self-branded tablets and phones to fully compete with #Apple. #WP7	1
...How to prevent IIS 6.0 from revealing internal address,Help make Microsoft developer technologies better,Windows Phone 7 Developer Heroes	
Flickr for Windows Phone 7 is the first non-Microsoft application which looks and works amazingly. Great work, guys!	
I'm surprised that Microsoft shipped a Windows phone update on time. Hopefully the rest will be this way.	
Windows phone, you say? So long as it doesn't run on Vista. #CheapShotsAtMicrosoft	
Good session at Microsoft #wp7nl	
So, there's suggestion app from Microsoft. Hope they'll grant our wishes. #WP7	1
Microsoft should have free Windows for mobile. Have some RIMM Windows phone.	1
@albertxii same with a windows phone. Microsoft has spent so much $ on product placement, & it's always ridiculous w/ a 5 sec look at it	
Microsoft offers a 90mb+ ZIP containing photoshops assets for every control, view, menu etc in WP7. Everything. Well done, this is amazing.	
@markgosy Its WP7.5 not Nokia. I know, how mad is that. A smartphone that cannot do MMS in 2012! What are Microsoft thinking?	
rowiapp  the author of this review has a unhealthy dislike of Nokia  and  Microsoft  Windows Phone ;	
#nokia adopts #microsoft #windows phone 7!	
Good news for nokia but now Microsoft have to pull their finger out with wp7. Poor at the moment and needs mass improvement quick. #wp7	1
@tferrill @joebelfiore Us stuck with @verizonwireless miss out, and so does Microsoft on getting WP7 out there to the mainstream.	
RT @MyMicrosoftLife: @WindowsPhoneUK Most have been interested in it as it certainly stands out with the Metro UI. Friend and family hav ...	
Just received my 2011 re-award email for the Microsoft MVP for #WindowsPhone. Looking forward to an interesting year.	
Both apps submitted to the WP7 Marketplace -now to see how long it takes Microsoft to reject them #winning	
Tech: A different kind of phone designed to get to everything you love easier and faster...Windows Phone 7. Check out www.microsoft.com	
RT @microsoft_dpe Speaking of speed - @jf & @ralizadeh show & develop #WP7 app - 50 mins!  See it for yourself - 11:10|Rm 2016|Moscone #w2e	
Windows Phone 7 up and running. Well done #microsoft for building a new mobile platform. #fail for not bringing it to the # HTCHD2 itself	
We're learing about #Metro style apps, #Silverlight and #Wp7 dev on #VSPR with Andrej Radinger! #Microsoft	
I don't know enough about what's under the hood, but can the Windows phone development environment help Microsoft to defeat Android?	
Its not like Microsoft has learned a lesson so it will open up customizatio for next version of Windows Phone.	
RT @robpegoraro: I have to imagine the #WP7 folks at Microsoft are scoring this as a *great* week, between the Motoogle weirdness and HP ...	
@Microsoft @MicrosoftAT wish to have support for multiple accounts in your facebook app for #wp7	1
RT @TheRomit: among other things, I think I broke @pdparticle  at #CES. he now thinks WP7 is cool, Windows 8 is going to rock, Microsoft ...	
@acnossen Developers want and get #Mango early, and that gets Microsoft more #wp7dev accounts. #winwin #wp7nl	
@WinPhoneSupport I got help on it via Microsoft answers though and was able to get it refunded so thanks to the team :)	
New post: Microsoft's Windows Phone dowry to net Nokia  http://www./01/2012/67688/microsofts-windows-phone-dowry-to-net-nokia-billions	
Some Microsoft fan boy blogger (there's only one) calls WP7 "the most innovative smart phone platform". It's great, but not *that* great.	
RT @IanRobinson: Just got an email from Microsoft offering a "Buy 1 get one free" for HTC HD7 running Windows Phone 7 on T-Mobile. :) #fail	
@efjay01 to suggest Microsoft is the victim of sales reps is just making excuses.... why are you so keen to pimp #wp7 ?	1
@WinPhoneSupport .  Referred by ZuneSupport and MicrosoftHelps.  Have Windows7 64 bit Premium Home. Windows Media Player has disappeared.	
I hate to admit it, but I am kind of a Microsoft fanboy. Getting super stoked for the Windows Phone, and I'm not ashamed.	
Great news for #WP7 app developers ! Microsoft has increased free app submission on Windows Phone 7 Marketplace from 5 to 100.	
AAAAAHHHH NOW I GET IT!! Kinect was just a peripheral for Windows phone 7... You sneaky mofo's Microsoft!!	
If You Were A Microsoft Exec, You'd Have A Lego Windows Phone 7 Right Now [Microsoft]: I wish I were a Microsoft executive just to have...	
Microsoft Apologizes to Blogger Over 'Smoked By Windows Phone' Fracas	
well when I get this Windows phone, I'll be #TeamMicrosoft since I already got a Zune...I need a 360 now!	
RT @theRobManDotNet: #wp7evv Brought to you by the Evansville .NET User Group, Evansville SharePoint Users Group, and Microsoft http://y ...	
RT @Windows4Devices: Microsoft fine-tunes Windows Phone 7 dev resources: Microsoft has announced the ability for developers to create... ...	
@windowsphone I #ILoveWindowsPhone because of the pinstart function and Xbox app. Also because i am a fan of all products by Microsoft	
Weekend Reading: Sept. 30th Edition-Windows Phone 7.5 Starts Rolling Out, Microsoft	
@bindik It's great to see Microsoft stepping up to the challenge... #wp7 is getting lots of fans!	
@EvanSeary Also who knows, if #microsoft keeps up the #WP7 standards, you'll be using an #IE based browser...lol welcome to #web1.0	
